Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Шелест;Симон;Романович;Чоловік;1989-10-31;Лікар;хутір Здолбунів;шосе Іподромний, буд. 567 кв. 672, Сєвєродонецьк, 40021;012 808 41 84;liza89@example.org
Палій;Олег;Олександрович;Чоловік;2003-09-24;Патологоанатом;місто Переяслав;провулок Дукова, буд. 76, Бахмач, 94986;+380 (08) 351-67-06;viktor93@example.org
Шовкопляс;Валентин;Назарович;Чоловік;1938-10-29;Диригент;селище Перещепине;проспект Шефська, буд. 67, Сватове, 71940;+380 (19) 388-48-80;mykytababii@example.com
Байда;Богодар;Давидович;Чоловік;1989-09-09;Актор;селище Малин;набережна Політкаторжан, буд. 1 кв. 1, Кам'янець-Подільський, 69671;442 35 83;lchuiko@example.org
Гаврилів;Остап;Азарович;Чоловік;1988-02-03;Кінорежисер;селище Чорнобиль;набережна Зелена балка, буд. 4, Покровськ, 93058;+380 (72) 876-23-33;ftymchuk@example.org
Дробаха;Микита;Леонтійович;Чоловік;1999-05-17;Біолог;хутір Білицьке;шосе Данькевича, буд. 5, Помічна, 15775;833 75 93;klymentiaremko@example.org
Цибуленко;Ростислав;Панасович;Чоловік;1939-10-27;Модель;хутір Красноград;парк Покровський, буд. 671 кв. 9, Вилкове, 57836;316-33-86;oartymyshyn@example.com
Єщенко;Олександр;Богуславович;Чоловік;1963-04-17;Ґрунтознавець;село Амвросіївка;сквер Казковий, буд. 09 кв. 780, Харцизьк, 15748;+380 92 422 26 21;goliashokseniia@example.com
Засенко;Герман;Несторович;Чоловік;1938-09-22;Кінорежисер;селище Жовті Води;вулиця Пироговський, буд. 2, Снятин, 84042;+380 58 115 88 52;okhrymovychvira@example.org
Алексійчук;Прохір;Йосипович;Чоловік;1973-12-05;Модельєр;хутір Ясинувата;шосе Луцька, буд. 11 кв. 6, Моспине, 61639;015 364 03 96;danna24@example.com
Дахно;Леон;Йосипович;Чоловік;1962-12-14;Гицель;хутір Олевськ;узвіз Залізнична, буд. 00, Судова Вишня, 80342;+380 11 868-33-93;zarubaalbert@example.com
Черінько;Вʼячеслав;Аркадійович;Чоловік;1994-10-04;Круп'є;хутір Узин;парк Новгородський 2-й, буд. 3 кв. 8, Шпола, 58234;059 179-62-96;hlib13@example.net
Бебешко;Алевтин;Мартинович;Чоловік;1946-10-18;Зоолог;селище Трускавець;узвіз Рекордний, буд. 1, Золочів, 35171;+380 (03) 607-11-66;hhavryshkevych@example.net
Забарний;Соломон;Георгійович;Чоловік;1980-09-28;Редактор;хутір Немирів;парк Пересипська 4-та, буд. 53, Підгайці, 66862;932 13 82;amaliiakalenychenko@example.com
Медведенко;Григорій;Омелянович;Чоловік;1979-12-02;Візажист;місто Люботин;проспект Книжковий, буд. 56, Узин, 95707;+380 (11) 232-41-12;ostap74@example.com
Баштан;Костянтин;Васильович;Чоловік;1984-09-16;Державний службовець;село Тростянець;набережна Прохоровський, буд. 1 кв. 3, Токмак, 33982;+380 75 666-81-17;conufriienko@example.org
Зінкевич;Климент;Хомович;Чоловік;1937-10-25;Соціолог;село Нове Давидково;набережна Горбатий міст, буд. 4 кв. 132, Білицьке, 72930;+380 96 247 64 79;zzatula@example.net
Алексеєнко;Олесь;Гаврилович;Чоловік;1939-01-26;Гірник;село Золотоноша;площа Рєпіна, буд. 269 кв. 9, Костянтинівка, 86423;696 67 37;oleksatryhub@example.net
Вдовиченко;Петро;Адамович;Чоловік;1955-09-16;Юрист;хутір Скадовськ;площа 1-ша Суворовська, буд. 7 кв. 8, Березне, 13877;+380 21 284-58-48;trokhymnazarenko@example.net
Наливайко;Леонід;Давидович;Чоловік;1983-01-12;Громадський діяч;село Канів;парк Пляжна, буд. 66, Таврійськ, 44639;961 28 10;zirvanets@example.net
Шинкаренко;Давид;Симонович;Чоловік;1974-05-04;Каскадер;селище Рожище;набережна Дельфін, буд. 6, Жашків, 98382;005 743-52-14;shcherbanvira@example.net
Вівчаренко;Августин;Орестович;Чоловік;1986-08-21;Золотар;селище Оріхів;набережна Злакова, буд. 2, Остер , 26027;+380 58 896-58-33;zatovkaniukleontii@example.com
Павленко;Гліб;Васильович;Чоловік;1976-03-23;Вчитель;хутір Севастополь;сквер Нафтовиків, буд. 189 кв. 299, Острог, 77785;060 336-28-96;ieshchenkofedir@example.net
Голик;Богдан;Васильович;Чоловік;1970-02-03;Нотаріус;селище Зборів;парк Лазурний 5-й, буд. 9 кв. 497, Білогірськ, 16169;+380 30 721-10-91;hutsuliaktymofii@example.org
Голобородько;Дан;Хомович;Чоловік;2007-12-13;Підприємець;селище Кам'янка-Дніпровська;проспект Заводська 4-та, буд. 034 кв. 6, Болград, 59757;977-36-54;anastasiiatsarenko@example.org
Худобʼяк;Ігор;Андрійович;Чоловік;1981-03-10;Вчитель;місто Кам'янське;набережна Воронцовський, буд. 6 кв. 5, Привілля, 60787;+380 13 233-72-82;kamilla37@example.net
Царенко;Федір;Бориславович;Чоловік;1947-12-12;Електрослюсар;хутір Енергодар;площа Транспортна, буд. 789 кв. 873, Буринь, 09815;+380 (08) 008-89-76;halyna82@example.net
Кабаненко;Йосип;Данилович;Чоловік;1968-01-02;Парфюмер;місто Скадовськ;сквер Аеропортівська, буд. 87, Ніжин, 74627;+380 69 421-30-85;rudkobohdanna@example.com
Чаленко;Данило;Демʼянович;Чоловік;1959-10-14;Модельєр;місто Обухів;набережна Північний, буд. 301, Чуднів, 73779;804-71-93;alevtyn04@example.org
Верес;Ілля;Ярославович;Чоловік;1954-03-27;Скульптор;селище Зугрес;провулок 6-та Суворовська, буд. 04, Яремче, 11094;+380 (51) 392-60-03;anastasiia02@example.com
Дробʼязко;Мартин;Арсенович;Чоловік;1988-12-28;Менеджер;місто Сімферополь;узвіз Кондрашина, буд. 277, Липовець, 61817;+380 71 103-94-83;tartiukh@example.com
Щербань;Охрім;Орестович;Чоловік;1940-09-15;Бібліограф;село Сновськ;шосе Академіка Богатського, буд. 697 кв. 040, Вашківці, 63188;+380 79 602-09-44;gbatiuk@example.com
Дубина;Франц;Зиновійович;Чоловік;1959-02-09;Стропальник;село Карлівка;узвіз Куликове поле, буд. 52, Судова Вишня, 20415;+380 70 716 89 38;drobiazkozynovii@example.net
Давимука;Степан;Данилович;Чоловік;1944-11-03;Етнограф;місто Вугледар;парк Флотський 4-й, буд. 2, Рахів, 58279;649-00-25;samoilenkopylyp@example.org
Баклан;Владислав;Вікторович;Чоловік;1985-06-21;Клоун;селище Тараща;сквер Приморський, буд. 94 кв. 1, Снігурівка, 18004;+380 (87) 226-87-73;okhrim44@example.org
Матяш;Арсен;Едуардович;Чоловік;1958-09-03;Педагог;хутір Нова Каховка;вулиця Амундсена, 2-й, буд. 78, Довжанськ, 34997;+380 14 646 32 06;hishchak@example.net
Деркач;Ярема;Єлисейович;Чоловік;1992-07-16;Редактор;хутір Червоноград;площа Магнітогорський 2-й, буд. 1 кв. 18, Валки , 92574;+380 23 121-43-41;liudmyla86@example.org
Гайденко;Віталій;Устимович;Чоловік;1988-10-24;Бібліограф;село Тальне;провулок Велика Арнаутська, буд. 14, Кременчук, 53980;+380 84 662-38-05;oberemkoanzhela@example.net
Симоненко;Вадим;Валентинович;Чоловік;1994-06-26;Мікробіолог;село Красноперекопськ;проспект Педагогічна, буд. 73, Тернопіль, 10412;002 615-31-66;avhustynhupalo@example.com
Шинкаренко;Павло;Петрович;Чоловік;1938-05-21;Філолог;село Золоте;площа Студентський 1-й, буд. 37 кв. 4, Новомиргород, 41903;+380 97 833-42-70;mykhailo72@example.org
